request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102098&c-r-ot=H,c-t-id,102098,"JENSEN, SCOTT R",c-t-eid,4123910,"JENSEN, SCOTT R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8678,"ASSEMBLY DISTRICT 032",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",2218,615014.99
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102050&c-r-ot=H,c-t-id,102050,"FOTI, STEVEN M",c-t-eid,6588502,"FOTI, STEVEN M",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8684,"ASSEMBLY DISTRICT 038",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",648,130327.70
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102040&c-r-ot=H,c-t-id,102040,"KRUG, SHIRLEY",c-t-eid,13009484,"KRUG, SHIRLEY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8658,"ASSEMBLY DISTRICT 012",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",473,123030.32
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102056&c-r-ot=H,c-t-id,102056,"BLACK, SPENCER",c-t-eid,2593958,"BLACK, SPENCER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8723,"ASSEMBLY DISTRICT 077",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",29,121677.76
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102150&c-r-ot=H,c-t-id,102150,"LIPPERT, MARYANN T",c-t-eid,6651156,"LIPPERT, MARYANN T",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8716,"ASSEMBLY DISTRICT 070",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",558,114463.25
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102123&c-r-ot=H,c-t-id,102123,"WASSERMAN, SHELDON A",c-t-eid,3119644,"WASSERMAN, SHELDON A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8668,"ASSEMBLY DISTRICT 022",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",357,112421.83
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102164&c-r-ot=H,c-t-id,102164,"PETROWSKI, JERRY",c-t-eid,3185708,"PETROWSKI, JERRY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8732,"ASSEMBLY DISTRICT 086",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",548,109728.35
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102109&c-r-ot=H,c-t-id,102109,"RILEY, ANTONIO R",c-t-eid,6391262,"RILEY, ANTONIO R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8664,"ASSEMBLY DISTRICT 018",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",461,102544.30
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102075&c-r-ot=H,c-t-id,102075,"GARD, JOHN G",c-t-eid,6588610,"GARD, JOHN G",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8735,"ASSEMBLY DISTRICT 089",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",340,98130.77
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102102&c-r-ot=H,c-t-id,102102,"LADWIG, BONNIE L",c-t-eid,6588794,"LADWIG, BONNIE L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8709,"ASSEMBLY DISTRICT 063",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",256,96002.83
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102126&c-r-ot=H,c-t-id,102126,"HOVEN, TIMOTHY",c-t-eid,6651102,"HOVEN, TIMOTHY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8706,"ASSEMBLY DISTRICT 060",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",387,93500.37
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102110&c-r-ot=H,c-t-id,102110,"SKINDRUD, RICK",c-t-eid,6588822,"SKINDRUD, RICK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8725,"ASSEMBLY DISTRICT 079",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",482,92569.77
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102181&c-r-ot=H,c-t-id,102181,"KRAWCZYK, JUDY",c-t-eid,13009690,"KRAWCZYK, JUDY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8734,"ASSEMBLY DISTRICT 088",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",398,84639.15
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102157&c-r-ot=H,c-t-id,102157,"LEIBHAM, JOE",c-t-eid,3197153,"LEIBHAM, JOE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8672,"ASSEMBLY DISTRICT 026",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",368,83004.53
